Flight_Date,AircraftType,REG,OUT_FLIGHT,OUT_DATE_TIME,TOWN_TO,COUNTRY,Airline_Name,Lat_to,Lon_to,TOWN_FROM,Lat_from,Lon_from
2022-06-03 08:46:00,32A,73750,SU 1366,2022-06-03 08:46:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-03 14:28:00,32A,73748,SU 1368,2022-06-03 14:28:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-04 14:32:00,32A,73759,SU 1368,2022-06-04 14:32:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-04 12:30:00,320,73744,SU 1364,2022-06-04 12:30:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-05 12:35:00,32A,73769,SU 1364,2022-06-05 12:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-05 14:34:00,32A,73758,SU 1368,2022-06-05 14:34:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-05 08:48:00,32A,73778,SU 1366,2022-06-05 08:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-06 14:36:00,32A,73169,SU 1368,2022-06-06 14:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-06 12:33:00,32A,73777,SU 1364,2022-06-06 12:33:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-06 08:48:00,32A,73173,SU 1366,2022-06-06 08:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-07 08:48:00,32A,73777,SU 1366,2022-06-07 08:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-07 12:32:00,32A,73778,SU 1364,2022-06-07 12:32:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-07 14:40:00,32A,73767,SU 1368,2022-06-07 14:40:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-08 14:37:00,32A,73173,SU 1368,2022-06-08 14:37:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-08 12:38:00,32A,73769,SU 1364,2022-06-08 12:38:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-08 08:49:00,32A,73768,SU 1366,2022-06-08 08:49:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-09 12:35:00,32A,73768,SU 1364,2022-06-09 12:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-09 08:54:00,32A,73172,SU 1366,2022-06-09 08:54:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-09 14:44:00,32A,73168,SU 1368,2022-06-09 14:44:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-10 08:48:00,32A,73169,SU 1366,2022-06-10 08:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-10 10:35:00,32A,73168,SU 1362,2022-06-10 10:35:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-10 14:40:00,32A,73762,SU 1368,2022-06-10 14:40:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-10 12:37:00,32A,73767,SU 1364,2022-06-10 12:37:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-11 10:42:00,32A,73776,SU 1362,2022-06-11 10:42:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-11 12:36:00,32A,73753,SU 1364,2022-06-11 12:36:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
2022-06-11 08:48:00,32A,73755,SU 1366,2022-06-11 08:48:00,Ставрополь,Россия,Aeroflot,45.043317,41.96911,Москва,55.755864,37.617698
